,gid,black,white,black_rating,white_rating,move_list,winner
4096,1942640,HappyHippo,David J Bush ★,2200,2130,m7*e9e4d4e7i5h4k10j3g7j2g5e3d6g4f5d3k3l1m1j4k4k6l5j6l2j5l6i12j11k9k8j9j8i11l8l9i7d12d10d11e12f10g11i9c8i8j7h8b12h7i6h6h5c11b11c9c10e8,white
4097,1942639,Virlax_,HappyHippo,2167,2200,a3e9i8i10k10k11j11k9l9i9h9g11f10d11k7l8e12i5j5j4l3j3l2k4l4k6c7e8d8b9g7i7h7g8h8g9g10e11f11g3f4f5e7d6h5g6h6i2i3h4g4,black
4100,1942631,HappyHippo,Jos Dekker,2200,2167,m1*d5i10j10j9f9d3c3c4e3e2i5h6k7h11k9k8l7l8g9f2f3h5f5f6f8,black
4101,1942625,JKB,HappyHippo,2161,2200,a3e9j9i5h6i8b10b12c11c10b11c9j6k5g7h8k7i6f9f8b9c8b8c6b5b7g8g4h4,black
4103,1941953,PaulStu,HappyHippo,1896,2200,m11i5b11e4g5e7h6h3f4g2f3f2e3e2d3d2b3c3b4c4a6b5a5b6a7b8b7d6c7d8j5j4l3k4l4k5l5j3l2k7h5f10i7j9k6h9j8j10c9c10d10d9f9h7c11,black
4105,1938164,HappyHippo,Omo321 ★,2200,1910,a13f5d5d6i5h7g7h6g6h4g4g5j5h8h5f9j8i9k6j9e8d10c10d9c9d8c8d7b7c6b6c4b3b4c5e3e5g2j3e6f3f2g3,black
4106,1937372,fastplayer,HappyHippo,1806,2200,a6e9g7i10f9f8g8h5f6f7g6f5g5h3h4i3j4k2g4g3f4f3e4e3c4d4c6c5b7b3b5d2e2d3l2k3l3k4l4k5l5k6l6j8l9j10j9i9k10l8j7k7a3a4c2c3l7k8j3j2m7m8,white
4107,1934676,HappyHippo,Reiner Martin,2200,1791,a13f7d5e8j9j6h6g9g8f9h8h10h9g10k8i12j10i3g5,black
4108,1932642,Giupiter,HappyHippo,1843,2200,m10*e6e4d6e9g9h6i6h7i7i5k4j3f8f7d8f5l2j5k5j6k6j7k7j8k8j9k9i12,white
4110,1928838,vieuxsac,HappyHippo,1945,2200,a5*j10i5j7i6i4g7j5j4l3j3,white
4111,1926215,HappyHippo,Art Duval ★,2200,2165,m1i10d5d3c3d2b3c4b6a5e9e4e3e5h9h7j4f8h6g7f6e7e8f7d8c10i7h11c11b12,white
4112,1924132,Jos Dekker,HappyHippo,2167,2200,a13*j9e4d3e9h6h7j6f9g7i6j5i5k4i4j3j7k8l6i7h9i8i9j8i11j11j10l9k10l10k12k11i13i12h13h12g13g12f13f12e13e12d13c12d12d10f10d9d11c11e8,white
4114,1918175,HappyHippo,bennok,2200,1905,a13i9d5d7h9h5i5h10g8h6f8h4j3e11c10c11f7d10g10i6e7d6j7,black
4115,1915207,JKB,HappyHippo,2161,2200,c12i10d5d3c3c4e3f8l4e2j9i9k10k5h6j7i8j8g8f10e10f9e8e9c10f7d8e6f6c9d9e7c7c8d7c6d6f2f3g2g3h2h3i2j3l2k2i3i6,black
4116,1913597,HappyHippo,struggler,2200,1844,a10*l2i10j9j11k11i9c4d11f10f9g9h7i6i7k6j8e8e9d9c11g8g7f8e7f7g5f6e5f5g3f4f3e4e3b5c3d3e13f11,black
4117,1911421,HappyHippo,pim,2200,1421,d11*h6d10j9h8e9e4c4h5g6g4i5f8i8j3h4g5i4i2h3h2g3g2f3f1f2g1d3i10g8h7f9c2d2g7j6i9h9j7g9i7e8f7e7f6e5e6c7d7c8d8c9c5d5d9b11b12c11c13c12b13e11,black
4118,1911420,Lukasz S.,HappyHippo,2047,2200,b2i10e9e3k10k11l10k12i11i5h5d11c10b12f10g11e12g7f7h4h3f6g6i3f5g4f4g2g3i1i2j1j2k1l2k2k4l3k3j3l5k7l8l6j7i6k6i9h7g9,white
4119,1911419,HappyHippo,Marius Halsor ★,2200,2005,a3c5j9j11k11k9e9g7f6h3h5h4b4d3b7d6a6c8e6e8f8f7i5g5g6f10d11g8d8d10d9b3a4e2j3,black
4121,1911413,HappyHippo,JKB,2200,2161,a13*d5i10j10i11j11j9e9d3c3d2b3c2b2c4b6a6h5f8g8g7h7h6i5f9j5e10d10b12,white
4124,1910837,HappyHippo,Marius Halsor ★,2200,2005,d2*j9j11k11j12l11k9e9g7i5h6j5f10d11f8i7j6i6h10h8g9h9,black
