,gid,black,white,black_rating,white_rating,move_list,winner
19418,1938166,Giupiter,Tom Ace,1843,1929,m1*c12i5j4l2f7i4g6g5h4g4h5i2e4g3d6e5d5e7d8d7c8c7,white
19420,1932626,bennok,Tom Ace,1905,1929,a3*h5j10,white
19421,1930965,firehand,Tom Ace,1924,1929,m7i5d5d3b3b4j4l2g5g7k5j5k4j6l6i4j3j10k10l8m8l9m9l10m10l12l11k12k11j12j11i12i11h12h11g12g11f12f11e12d11e11e10f10f9g9g8h8h7i7h6,black
19422,1928850,Tom Ace,struggler,1929,1844,a6e9j9j11l8i10j10h6d8c10f8f10f9e11c12d10j5j6k4h8i8j8g10g9i7i6h7f7e8e6c7d5b6c4b4c2c3d2d3e2e3f2f3g2g3h2h3i2i3j2l2h10h9f12h12g12i9i11k11k10m9,black
19423,1926222,Tom Ace,leandro,1929,1817,k2*c4h7h6i6g7g8e9f8e8f5d8f7c7d12c12d10e10c5d5e3f4,black
19424,1924432,log222,Tom Ace,1885,1929,m6k4d5c3g7f9e9f8h8g10i9i10d11h11e8f6d7e5c5e3f5f4h5h1h4g4f7i3h3i2h2i1f2,black
19426,1924131,Tom Ace,Omo321 ★,1929,1910,k2h9e9g6j9i10f6e4e6e8h6g7h7g8h8g9i9i8j7j8l7k8l8j11m9k12l11l12j10h12k11j12i11h13g11j5j6k5l6i4h5h4c7g5b9d6,white
19427,1924074,log222,Tom Ace,1885,1929,m6*i5k4h7e4g7g5f6g3j3i4j4i6g6f10g10f11h10e10g9h11g11e12g12g13h12h13c11b12d12d9e9d10k10i12j11,black
19430,1922627,log222,Tom Ace,1885,1929,a13*d5b4h5g7e8d7f6e9h8i6f8f9c11d12b11d9g8f11j9g12k10h13g11i9g10f12h11i12l10j10k9i10j8i8j7i7j5,black
19437,1920576,isafam,Tom Ace,1671,1929,f5*g7j10f9g5h5i3h4h3k4j4j3j2m1k3l3j5k5j6k6j7k7i9m9k10g4g3f4f3d4e4c6d6b8c7b7c9,white
19438,1918194,Jonas,Tom Ace,1729,1929,a13*i4d6e7e5f5e8c9e9g8i6h6g9d10d8c8d7c6e10c11b6,white
19441,1911534,NightKnight,Tom Ace,1496,1929,m8k6g7f9h8g4h4h3i3g6h6h5j4i5j5i6j6i7l6j7l5l2k3i2k2k8j8k7m7l9k9l8m9l10m10l11m11l13l12k13k12j13j11j12k11i12h11i11j9f12g10,black
19442,1911533,Tom Ace,Reiner Martin,1929,1791,k2*c4f5j10i8g5g7f7e9k4i9g8f10h9g11h10h11i10j11k10k11l10l11i11h13h12g13g12f13f12e13e12d13d12c13b12c12c11d11d9e8d8f6c7c6d6d5e5f3f4h2e4e2e3f2c3,black
19443,1911532,struggler,Tom Ace,1844,1929,m1*i10j7d5f8h7f9i7h6j5h9g9f11g10g11j9j4i5i4h5h2h4i2g3g2e3,black
19444,1911528,Tom Ace,firehand,1929,1924,k2*c4e9k10k12g8g7h7h6j5h9f10i6j6i7j7i10i8h8i9h10j12j9k7k9f8f7d8e8c10c9b10c7,white
19446,1911519,Tom Ace,PaulStu,1929,1896,k2*j9j10l8k9k8i10i9h7g7g8f8f9e9h6g4e10d10c12d11d13d12c13e12e13f12f13g12g13h12h13j12i12j11i11l9h10h9h5k4k5i6j4m4k7,white
19448,1911506,Tom Ace,urmaul,1929,1914,k2j11g10e4i6h6h7,black
19451,1910845,magicnonno,Tom Ace,1877,1929,a4*j9j6g7g6i5i7h7i4g4j2h5h4g5f10d11e9f9g3h3i1h2h1f2g2e4e3f3f4e5f5e6f6d8c11e8h9h8e12i8i9b12c10j8h12e10,black
19454,1907610,psikonauta,Tom Ace,1902,1929,b2*g7j11f9h5d6h3e4f6e7f8c10d9e9d10g8e11f11e13g12g11d11d12f12f10h9g10i10,black
19457,1902698,Tom Ace,Reiner Martin,1929,1791,k2*c4f6f8f7e10i5g7h5j5j4l3k4l4k5l5k6l6k7l7k8l8k9l9k11k10j11j10i11i10h11h10g11g10f11d12,black
19458,1900820,Tom Ace,herveherve,1929,1623,k2j10g7f9f10g9f7e8d8d9b10d7c8e7c7c11a12d5d6e5e6h4f5g3f4f3e4e3c4a13b12b13c12,black
19459,1897425,Tom Ace,Tommah,1929,1769,k2*c4d10g7g8e9e10f9f10g9g10i9h9j9i8k7j6k5k6m5l5m4l4m3l2l3k3k4j4j5i5i6h6h7g6e7l6m6l7m7l8m8l9m9l10m10l11m11l13l12k13k12j13j12i13i12h13g12h11h12f4f5e6f6e5g4,black
19460,1895987,PaulStu,Tom Ace,1896,1929,m11*f8c10g8h7g6i5h4f9g9f11h10h11g11,black
19461,1894311,Gwylim Ashley,Tom Ace,1340,1929,a10c9j4i9k10i8g8i5f6f8g7g4e5e4f4f7g6e6,white
